,DATE,PERMNO,GVKEY,CUSIP,TICKER,NAME,RETURN.OLD,RETURN,RETURN.DIFF,GSECTOR,SECTORNAMES,SECTOR,MKTCAP,ENTVAL,P2B,EV2S,SIZE
1,2004-05-01,24643,1356,13817101,AA,ALCOA INC,0.022764,0.022816,0,15,Materials,MATRLS,28.73068308,35.14568308,2.351119728,1.501695568,10.26572093
2,2004-05-01,19561,2285,97023105,BA,BOEING CO,0.077536,0.077862,0,20,Industrials,INDUST,40.82029692,48.29529692,4.561436688,0.92251102,10.61693471
3,2004-05-01,59408,7647,60505104,BAC,BANK OF AMERICA CORP,0.032799,0.032799,0,40,Financials,FINS,171.8909754,335.3249754,1.799924349,5.058302289,12.05461569
4,2004-05-01,18542,2817,149123101,CAT,CATERPILLAR INC,-0.030619,-0.030619,0,20,Industrials,INDUST,27.22663008,48.17363008,4.119006064,1.588211462,10.21195082
5,2004-05-01,14541,2991,166764100,CVX,CHEVRON CORP,-0.004044,-0.004179,0,10,Energy,ENERGY,100.2341141,103.0221141,2.443185154,0.743133722,11.51526387
6,2004-05-01,11703,4087,263534109,DD,DU PONT (E I) DE NEMOURS,0.01397,0.014299,0,15,Materials,MATRLS,44.36607412,48.40007412,4.330087265,1.602863761,10.70023036
7,2004-05-01,12060,5047,369604103,GE,GENERAL ELECTRIC CO,0.039065,0.039065,0,20,Industrials,INDUST,342.0872028,667.5302028,3.480669938,4.577642931,12.74282096
8,2004-05-01,27828,5606,428236103,HPQ,HEWLETT-PACKARD CO,0.078173,0.078172,0,45,InformationTechnology,INFOTK,61.0545,53.8775,1.577187363,0.713080364,11.01952219
9,2004-05-01,12490,6066,459200101,IBM,INTL BUSINESS MACHINES CORP,0.006805,0.006801,0,45,InformationTechnology,INFOTK,147.6681748,161.4011748,5.122031731,1.746917209,11.90272297
10,2004-05-01,59328,6008,458140100,INTC,INTEL CORP,0.111154,0.111291,0,45,InformationTechnology,INFOTK,177.054,163.904,4.587723162,5.090818735,12.08421005
11,2004-05-01,22111,6266,478160104,JNJ,JOHNSON & JOHNSON,0.036369,0.036471,0,35,HealthCare,HEALTH,165.3045662,157.9715662,5.500617802,3.438949107,12.01554491
12,2004-05-01,47896,2968,46625H100,JPM,JPMORGAN CHASE & CO,-0.020213,-0.020213,0,40,Financials,FINS,80.93256885,154.3905689,1.801223379,3.430596588,11.3013716
13,2004-05-01,11308,3144,191216100,KO,COCA-COLA CO,0.015424,0.015424,0,30,ConsumerStaples,COSTAP,122.4515571,123.8225571,8.16180478,5.234298154,11.71547078
14,2004-05-01,22592,7435,88579Y101,MMM,3M CO,-0.018039,-0.017948,0,20,Industrials,INDUST,70.45109703,70.79809703,8.330506921,3.531429421,11.16267409
15,2004-05-01,22752,7257,58933Y105,MRK,MERCK & CO,0.006383,0.006383,0,35,HealthCare,HEALTH,105.4545125,105.8824125,6.215125034,4.395795796,11.56603498
16,2004-05-01,21936,8530,717081103,PFE,PFIZER INC,-0.006991,-0.007044,0,35,HealthCare,HEALTH,258.8406013,260.3266013,3.892339869,5.30196744,12.46396771
17,2004-05-01,18163,8762,742718109,PG,PROCTER & GAMBLE CO,0.019574,0.019189,0,30,ConsumerStaples,COSTAP,138.4865407,153.4355407,8.129529834,2.959333836,11.83852842
18,2004-05-01,66093,9899,00206R102,T,AT&T INC,-0.048193,-0.048193,0,50,Telecommunications,TELCOM,80.35584275,86.04584275,2.045719011,2.109794104,11.29422008
19,2004-05-01,17830,10983,913017109,UTX,UNITED TECHNOLOGIES CORP,-0.015071,-0.014936,0,20,Industrials,INDUST,46.80400388,49.75100388,3.750320824,1.309099144,10.75372403
20,2004-05-01,65875,2136,92343V104,VZ,VERIZON COMMUNICATIONS INC,-0.083731,-0.083731,0,50,Telecommunications,TELCOM,100.1908569,140.0808569,2.938234462,1.972080991,11.51483222
21,2004-05-01,55976,11259,931142103,WMT,WAL-MART STORES INC,-0.02,-0.019973,0,30,ConsumerStaples,COSTAP,224.8956141,251.7746141,5.212674164,0.892615201,12.32339164
22,2004-05-01,11850,4503,30231G102,XOM,EXXON MOBIL CORP,0.022797,0.02302,0,10,Energy,ENERGY,288.93146,279.98346,3.089019725,1.116254665,12.57394478
23,2004-06-01,24643,1356,13817101,AA,ALCOA INC,0.055272,0.055272,0,15,Materials,MATRLS,28.73068308,35.14568308,2.351119728,1.501695568,10.26572093
